Año,Sexo,Tasa.Actividad,Tasa.Empleo,Tasa.Desempleo,Tasa.Informalidad,Tasa.Subocupados,PromedioProporcion
2011,Mujer,37.2687505471459,34.1965558999679,8.2433529487166,32.9454905010359,7.48117466071456,0.8760736
2012,Mujer,37.4993213599885,34.2452120040895,8.67778199146576,33.4623429869186,8.07166161532463,0.879834987178058
2013,Mujer,37.4138141237759,34.5944756983556,7.53555469135832,30.0295004832662,6.72051861377461,0.875798238074774
2014,Mujer,37.4374346336732,34.4902799777694,7.87221315974731,31.1266897193881,7.50400058303071,0.871302554027505
2015,Mujer,37.46695512772225,34.41683111501145,8.14062622769759,30.58945928439615,10.076290007071805,0.8792397105963925
2016,Mujer,37.4964756217713,34.3433822522535,8.40903929564787,30.0522288494042,12.6485794311129,0.88717686716528
2017,Mujer,38.680801086572,35.3341101853879,8.65207236451447,30.2025386483081,12.1226396421361,0.881170585292646
2018,Mujer,39.3521694302511,35.320136257242,10.2460251401275,30.6899619164321,14.8378182010514,0.876059227814837
2019,Mujer,40.2509427427171,36.4347562338864,9.48098665222239,30.6899619164321,15.8963718859376,0.85691063249196
2011,Varón,55.3764762005864,52.2360400669442,5.67106531348568,28.3788992998878,4.8041258096218,0.949414458373996
2012,Varón,55.584372647605,52.4875212496636,5.57144256637542,28.5473249005357,5.26824861290993,0.950446603463136
2013,Varón,54.2008422271807,51.190555999581,5.55394732609922,28.2020275813514,3.86096417741987,0.95117941606964
2014,Varón,53.4110009530959,50.083493425168,6.23000406011869,28.5274636952687,5.04497590326069,0.948889845712235
2015,Varón,53.626680696872754,50.09987173455845,6.5752054518688645,27.619388149489453,6.793326080365005,0.9545184913051126
2016,Varón,53.8423604406496,50.1162500439489,6.92040684361904,26.7113126037102,8.54167625746932,0.96014713689799
2017,Varón,54.7505435817836,51.3970093311919,6.12511590059792,28.1778320690525,8.69684204959086,0.954434087882823
2018,Varón,54.3319517058802,49.8521681417292,8.24521009000706,28.3500672372539,9.68594819134664,0.9502298673249
2019,Varón,54.6851571174997,50.0718616313653,8.43610173089942,28.3500672372539,10.7973780806151,0.945037226442055
