programa_desc,proyecto_desc,actividad_desc
Acciones de Abordaje Integral del Empleo Agrario,Acciones de Abordaje Integral del Empleo Agrario,Fiscalizacion del Trabajo Agrario
Acciones de Abordaje Integral del Empleo Agrario,Acciones de Abordaje Integral del Empleo Agrario,Formalizacion y Registro del Sector Agrario
Acciones de Atencion Ciudadana y Servicios Federales,Acciones de Atencion Ciudadana y Servicios Federales,Acciones de Atencion Ciudadana y Servicios Federales
Acciones de Atencion Ciudadana y Servicios Federales,Acciones de Atencion Ciudadana y Servicios Federales,Conduccion y Administracion
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,Acciones de Capacitacion
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,Acciones de Fortalecimiento y Capacitacion Laboral a traves del Uso Intensivo de Tecnologias de la Informacion (OEI)
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,"Apoyo a la Orientacion, Formacion e Inclusion Laboral de Jovenes (BIRF 201240)"
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,"Apoyo a la Orientacion, Formacion e Inclusion Laboral de Jovenes (BIRF 8464-AR)"
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,Apoyo al Proyecto Fomento de Empleo para Jovenes PNUD 15/003
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,"Desarrollo Productivo con Inclusion, Equidad y Cohesion - FLACSO"
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,Mejora de la Calidad en Instituciones de Formacion (BIRF 747
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,"Orientacion, Formacion e Inclusion Laboral de Jovenes"
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,Proyecto Integral de Acciones para el Fortalecimiento del Empleo Joven en la Republica Argentina
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,Proyecto Integral de Acciones para el Fortalecimiento del Empleo Joven en la Republica Argentina ¿ OJI
Acciones de Capacitacion Laboral,Acciones de Capacitacion Laboral,Sistema de Formacion Continua - Proyecto PNUD ARG 07/0007
Acciones de Capacitación Laboral,Acciones de Capacitación Laboral,Acciones de Capacitación
Acciones de Capacitación Laboral,Acciones de Capacitación Laboral,Mejora de la Calidad en Instituciones de Formación (BIRF 747
Acciones de Capacitación Laboral,Acciones de Capacitación Laboral,Sistema de Formación Contínua
Acciones de Empleo,Acciones de Empleo,Acciones de Empleo
Acciones de Empleo,Acciones de Empleo,Acciones de Preparacion para la Conferencia Mundial Contra el Trabajo Infantil 2017 ¿ Patrocinio CAF
Acciones de Empleo,Acciones de Empleo,Analisis del Mercado Laboral y las Barreras a la Productividad en Argentina (BID ATN/OC 13554-AR)
Acciones de Empleo,Acciones de Empleo,Analisis del Mercado Laboral y las Barreras a la Productividad en Argentina (BID ATN/OC 13554/AR)
Acciones de Empleo,Acciones de Empleo,Apoyo a la Implementacion Territorial de las Politicas de Empleo - Proyecto PNUD ARG 11/007
Acciones de Empleo,Acciones de Empleo,"Apoyo a la Orientacion, Formacion e Inclusion Laboral de Jovenes (BIRF Nº 8464-AR)"
Acciones de Empleo,Acciones de Empleo,Apoyo a la Realizacion de la IV Conferencia Mundial sobre la Erradicacion Sostenida del Trabajo Infantil PNUD ARG 16/014
Acciones de Empleo,Acciones de Empleo,Apoyo a las Empresas Autogestionadas por sus Trabajadores
Acciones de Empleo,Acciones de Empleo,Apoyo a las Empresas Autogestionadas por sus Trabajadores - Proyecto PNUD ARG 09/001
Acciones de Empleo,Acciones de Empleo,Apoyo a las Empresas Autogestionas por sus Trabajadores - Proyecto PNUD ARG 09/001
Acciones de Empleo,Acciones de Empleo,Conduccion y Coordinacion
Acciones de Empleo,Acciones de Empleo,Conducción y Coordinación
Acciones de Empleo,Acciones de Empleo,Conferencia Mundial por la Erradicacion del Trabajo Infantil
Acciones de Empleo,Acciones de Empleo,Cooperacion entre la Organizacion Iberoamericana de Seguridad Social (OISS) y la Secretaria de Empleo MTEySS
Acciones de Empleo,Acciones de Empleo,"Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) Rural 2016/2017 - Contribucion UNICEF"
Acciones de Empleo,Acciones de Empleo,PNUD ARG 16/014 Apoyo a la Realizacion de la IV Conferencia Mundial sobre la Erradicacion Sostenida del Trabajo Infantil
Acciones de Empleo,Acciones de Empleo,Politicas y Estudios Laborales
Acciones de Empleo,Acciones de Empleo,Programa de Recuperacion Productiva (REPRO)
Acciones de Empleo,Acciones de Empleo,Programa de Reproduccion Productiva (REPRO)
Acciones de Empleo,Seguro de Capacitacion y Empleo,Seguro de Capacitacion y Empleo
Acciones de Empleo,Seguro de Capacitación y Empleo,Seguro de Capacitación y Empleo
"Acciones de Promocion, Proteccion y Cambio Tecnologico","Acciones de Promocion, Proteccion y Cambio Tecnologico","Acciones de Promocion, Proteccion y Cambio Tecnologico"
"Acciones de Promocion, Proteccion y Cambio Tecnologico","Acciones de Promocion, Proteccion y Cambio Tecnologico",Conduccion y Administracion
Actividades Centrales,Actividades Centrales,Acciones de Asistencia para el Sistema de Proteccion Social (BIRF 8017-AR)
Actividades Centrales,Actividades Centrales,Acciones de Asistencia para el Sistema de Protección Social (BIRF 8017-AR)
Actividades Centrales,Actividades Centrales,Acciones de Jefatura de Gabinete de la Secretaria de Gobierno de Trabajo y Empleo
Actividades Centrales,Actividades Centrales,Apoyo al Fortalecimiento y Modernizacion de la Gestion Publica
Actividades Centrales,Actividades Centrales,Apoyo al Fortalecimiento y Modernizacion de la Gestion Publica (Proyecto PNUD ARG/17006)
Actividades Centrales,Actividades Centrales,Asistencia Tecnica para el Sistema de Proteccion Social (BIRF 7703-AR)
Actividades Centrales,Actividades Centrales,Asistencia Técnica para el Sistema de Protección Social (BIRF 7703-AR)
Actividades Centrales,Actividades Centrales,Cond. General de la Politica Laboral  y de Seguridad Social
Actividades Centrales,Actividades Centrales,Cond. General de la Política Laboral  y de Seguridad Social
Actividades Centrales,Actividades Centrales,Conduccion General de la Politica Laboral  y de Seguridad Social
Actividades Centrales,Actividades Centrales,Estudio del Mercado Laboral y Productividad  - (BID ATN/OC 13554-Ar)
Actividades Centrales,Actividades Centrales,Estudios de Enfoque Multidimensional del Sistema Previsional y del Mercado de Trabajo -  Convenio OISS
Actividades Centrales,Actividades Centrales,Estudios de Enfoque Multidimensional del Sistema Previsional y del Mercado de Trabajo ¿ Convenio OISS
Actividades Centrales,Actividades Centrales,Fortalecimiento de las TICs - Gestion de Calidad del Ministerio de Trabajo y Seguridad Social - Proyecto PNUD 10/008
Actividades Centrales,Actividades Centrales,"Impulso a Politicas Preventivas Sistematicas, Sensibles al Genero, Integradas y no Discriminatorias (PPG)"
Actividades Centrales,Actividades Centrales,Programacion Tecnica y Estudios Laborales
Actividades Centrales,Actividades Centrales,Programación Técnica y Estudios Laborales
Actividades Centrales,Reparacion Edificio Callao Nº 114,Reparacion Edificio Callao Nº 114
Actividades Centrales,"Reparacion Pisos 2 Al 6, Edificio Callao 114-Etapa II","Reparacion Pisos 2 Al 6, Edificio Callao 114-Etapa II"
Analisis y Formulacion de la Politica de Seguridad Social,Analisis y Formulacion de la Politica de Seguridad Social,Conduccion y Coordinacion
Análisis y Formulación de la Política de Seguridad Social,Análisis y Formulación de la Política de Seguridad Social,Conducción y Coordinación
Fiscalizacion Cumplimiento de la Ley de Riesgos del Trabajo,Fiscalizacion Cumplimiento de la Ley de Riesgos del Trabajo,Fiscalizacion Cumplimiento de la Ley de Riesgos del Trabajo
Fiscalización Cumplimiento de la Ley de Riesgos del Trabajo,Fiscalización Cumplimiento de la Ley de Riesgos del Trabajo,Fiscalización Cumplimiento de la Ley de Riesgos del Trabajo
Formulacion y Regulacion de la Politica Laboral,Formulacion y Regulacion de la Politica Laboral,Acciones Inherentes a la Insercion Argentina en el Mundo
Formulacion y Regulacion de la Politica Laboral,Formulacion y Regulacion de la Politica Laboral,Conduccion y Coordinacion
Formulación y Regulación de la Política Laboral,Formulación y Regulación de la Política Laboral,Conducción y Coordinación
Otras Asistencias Financieras,Asistencia Social,Trabajo
Regularizacion del Trabajo,Construccion Delegacion Regional Formosa,Construccion Delegacion Regional Formosa
Regularizacion del Trabajo,Construccion Delegacion Regional Jujuy,Construccion Delegacion Regional Jujuy
Regularizacion del Trabajo,Construccion Delegacion Regional La Rioja,Construccion Delegacion Regional La Rioja
Regularizacion del Trabajo,Construccion Delegacion Regional San Nicolas,Construccion Delegacion Regional San Nicolas
Regularizacion del Trabajo,Construccion de Agencias Territoriales,Construccion de Agencias Territoriales
Regularizacion del Trabajo,Regularizacion del Trabajo,Regularizacion del Trabajo
Regularización del Trabajo,Regularización del Trabajo,Regularización del Trabajo
Sistema Federal de Empleo,Construccion y Reformas Edilicias en Edificios de las Gerencias de Empleo y Capacitacion Laboral,Construccion y Reformas Edilicias en Edificios de las Gerencias de Empleo y Capacitacion Laboral
Sistema Federal de Empleo,Sistema Federal de Empleo,Sistema Federal de Empleo
